Carrera;Lugar;Partida;Caballo;Padrillo;Stud;PF (Kg);Jinete;Jinete_Kg;Preparador;Distancia;Índice;Div.
4;2;4;KANE;MENDELSSOHN (USA);PAOLA;551;OSCAR ULLOA;60;PATRICIO BAEZA A.;1/2 cpo.;-;3.5
4;3;1;LUCA PAGURO;ROBERT BRUCE;EL CEDRO;495;RAFAEL CISTERNAS;60;JUAN CAVIERES;2 1/2 cpos.;-;2.5
4;4;3;LONWHITE;MENDELSSOHN (USA);CHARITO;492;KEVIN ESPINA;60;CRISTOBAL GONZALEZ M.;7 1/2 cpos.;-;4.6
4;5;5;TORNA;CUNCO (IRE);STUD HARAS DON ALBERTO;446;ANYELO RIVERA;58;JULIO ORELLANA;10 1/2 cpos.;-;4.1
5;1;2;CATITA REVOLTOSA;QUICK CASABLANCA;EL GRAN JOSE;470;GONZALO ULLOA;57;WALESKA PEÑA;Ganador;1;2.3
5;2;12;EL NENE;PAPELON;DI GIORGIO DICONE;425;AXEL ALVAREZ;57;CLAUDIO BERNAL;4 1/2 cpos.;1;3.7
5;3;1;MY CLAUDIA;SEEKING THE DIA;SAPNET STABLE;416;GERARD RODRIGUEZ;57;WALESKA PEÑA;8 cpos.;1;6.2
5;4;8;REPUBLIC ANA;EXAGGERATOR;LALY;452;JOSE SOLANO;57;ROBERTO TOLEDO M.;8 3/4 cpos;1;6.7
5;5;15;VALLTTERI;WAR COMMAND;MONTESINO S. RAUL;457;FELIPE HENRIQUEZ;57;RAUL MONTESINO;12 3/4 cpos.;1;1.7
5;6;3;MANCHITA DEL ÑUBLE;ADMIRAL;HEMISPHERES;447;BENJAMIN TRONCOSO;57;CARLOS MELERO;13 1/4 cpos.;1;60
5;7;11;SALE DE MIS OJOS;GEMOLOGIST;RUFO;458;BASTIAN SOTO;57;FERNANDO SOLAR;13 1/2 cpos.;1;2.6
