Carrera,Lugar,Partida,Caballo,Padrillo,Stud,PF,Jinete,Peso Jinete,Preparador,Distancia (cpos.),Índice,Dividendo
13,12º,1,SEVEN POINTS,DUBAI SKY,MALCIB,"428Kg",RONALD FOURNET,53 Kg,RODRIGO QUIROZ,"11 1/2 cpos.",-52.7
13,13º,6,SIMONE BULL,FLAMEAWAY (CAN),SHOT MENZEL,"421Kg",BASTIAN SOTO,57 Kg,JOSE ARAYA B.,"15 1/2 cpos.",-96.3
13,14º,13,TRASCATRASCA,BAD DADDY,MUNDO FUTURO H.,"468Kg",VICTOR MIRANDA,57 Kg,JOSE INDA DE LA C.,"35 3/4 cpos.",-51.9
14,1º,6,SUPERAME,MENDELSSOHN (USA),STUD MARENGA,"453Kg",OSCAR ULLOA,58 Kg,PATRICIO BAEZA A.,Ganador,23,3.9
14,2º,1,SORRISI,LOOKIN AT LUCKY,STUD DOÑA ELIANA,"456Kg",JAIME MEDINA,54 Kg,PATRICIO BAEZA A.,"1 1/2 cpos.",17,8.1
14,3º,3,SELVA BELLA,MENDELSSOHN (USA),STUD LA NONNA LTDA.,"456Kg",RAFAEL CISTERNAS,54 Kg,JULIO ORELLANA,"3 cpos.",14,4
14,4º,2,BLUE FOR EVER,CLASSIC EMPIRE (USA),SUPER SUPER,"433Kg",IGNACIO VALDIVIA,54 Kg,RODRIGO SANCHEZ,"3 1/2 cpos.",13,29
14,5º,5,MISIA NONI,FLAMEAWAY (CAN),ANY,"441Kg",FABIAN MEDINA,54 Kg,CRISTIAN URBINA,"5 cpos.",20,23.4
14,6º,11,BEIJING CRISTAL,ROBERT BRUCE,LOS TOCORNAL,"476Kg",WLADIMIR QUINTEROS,54 Kg,RODRIGO SANCHEZ,"7 cpos.",15,19.9
14,7º,9,ON LOOK,LOOKIN AT LUCKY,STUD MARENGA,"434Kg",JORGE A. GONZALEZ,58 Kg,JULIO ORELLANA,"9 3/4 cpos.",19,3.3
14,8º,12,GOOD TEMPTATION,GOOD SAMARITAN (USA),JUJUY,"454Kg",NICOLAS RAMIREZ,54 Kg,MARIO RABAJILLE D.,"9 3/4 cpos.",17,10.2
14,9º,7,BRUNELLI,CLASSIC EMPIRE (USA),VENDAVAL,"441Kg",HUGO OCHOA,54 Kg,RODRIGO SANCHEZ,"10 1/4 cpos.",16,7.4
14,10º,4,SACANNE,MENDELSSOHN (USA),STUD EL MIRADOR,"441Kg",NICOLAS SANTIBAÑEZ,54 Kg,JULIO ORELLANA,"10 1/4 cpos.",18,22
14,11º,10,LA POLITO,UMAMICHI,MIS RECUERDOS,"483Kg",RICARDO SOLORZA,54 Kg,JUAN CAVIERES,"13 1/2 cpos.",14,51.9
14,12º,8,GRAN PRIMA,PAPELON,EL PEÑON,"461Kg",RODOLFO S. DORES,54 Kg,DOMINGO MATTE,"21 cpos.",12,32.7
14,13º,13,UQUIA,GOOD SAMARITAN (USA),JUJUY,"444Kg",SEBASTIAN GONZALEZ,54 Kg,MARIO RABAJILLE D.,"25 cpos.",14,19.4
15,1º,7,JE T'AIME,CUPID,TAMARA AGUSTINA,"426Kg",GERARD RODRIGUEZ,57 Kg,SERGIO MORALES,Ganador,8,5.6
