Carrera,Lugar,Partida,Ejemplar,Padrillo,Stud,Peso_Fisico,Jinete,Peso_Jinete,Preparador,Distancia,Indice,Dividendo
18,4,5,MR CASPER,CUPID,CHARITO,438,ALVARO APABLAZA,56,CRISTOBAL GONZALEZ M.,2 3/4 cpos.,22,31.4
18,5,1,QUEEN TIGER,HANDSOME TIGER,EL CEDRO,462,DAVID SANCHEZ,55,JUAN CAVIERES,3 1/2 cpos.,21,7.4
18,6,3,BORN TO BE WILD,GOLDENCENTS,PREMIUM,469,CARLOS ORTEGA,57,JOSE M. ALVAREZ D.,3 1/2 cpos.,23,13.6
18,7,9,GRAND CODY'S,GRAND DADDY,LAS TRES DAMAS,439,RODOLFO FUENZALIDA,58,RODRIGO MUÑOZ,3 3/4 cpos.,25,9.8
18,8,10,SCALPING,GOOD SAMARITAN (USA),EL VEINTITRES,447,BENJAMIN SANCHO,59,CLAUDIO BERNAL,6 3/4 cpos.,27,34.5
18,9,13,PELAMBRE,PRACTICAL JOKE,BRUNO ALONSO,530,FRANCISCO MORALES,59,RODRIGO SANCHEZ,7 1/4 cpos.,27,34.2
18,10,2,DONDE RAUL,MALAGACY,TRANSPORTES MENDEZ,542,BENJAMIN TRONCOSO,54,ALEJANDRO PADOVANI E.,8 3/4 cpos,20,6
18,11,4,STATE OF GRACE,STATE OF PLAY,CHARITO,529,MIGUEL GUTIERREZ,60,CRISTOBAL GONZALEZ M.,9 1/4 cpos.,28,10.7
18,12,12,OBRA DE ARTE,CUPID,MATTE D. DOMINGO,433,NICOLAS MOLINA,54,DOMINGO MATTE,15 3/4 cpos.,20,24
18,13,11,AMANDA PEPITA,EXAGGERATOR,LA TOSCANA,466,JOAQUIN HERRERA,59,HERNAN ULLOA,19 1/2 cpos.,27,2.4
18,RT,14,BESO AL CIELO,GRAND DADDY,LEGACY,-,JOSE PAREDES,55,JOSE ARAYA B.,-,-21,-
19,1,3,MR YO,MR SPEAKER,CHARITO,472,JOAQUIN HERRERA,56,CRISTOBAL GONZALEZ M.,Ganador,13,2.8
19,2,11,DOCTORA MILAGRO,GOOD SAMARITAN (USA),MILLONARIO,477,RODOLFO S. DORES,57,DOMINGO MATTE,3 1/4 cpos.,14,5.1
19,3,13,FLIGHT OF ICARUS,MIDSHIPMAN,TETITO IGNACIO,462,FELIPE HENRIQUEZ,57,SERGIO MORALES,3 1/4 cpos.,14,7.3
19,4,8,TOP KING,CLOUD COMPUTING,BARBASTRO,514,RODOLFO FUENZALIDA,55,ANDRES BERNAL,4 1/2 cpos.,12,19.5
19,5,5,BOY SCOUT,HINZ,BUCAREST,428,DAVID SANCHEZ,55,ALDO PARRA D.,4 3/4 cpos.,12,9.8
19,6,6,SABIONDO,PATTERNRECOGNITION,MAMAJELU,478,JESUS TORO,56,ALDO PARRA D.,4 3/4 cpos.,13,19.3
19,7,12,TOWN OF TREBBI,MO TOWN,EL MERO MERO,484,JOHAN GONZALEZ,55,SERGIO MORALES,8 1/4 cpos.,12,52
19,8,4,ANFIELD ROAD,DISTORTED ECONOMY,FERNANDEZ L ALVARO,475,BENJAMIN TRONCOSO,57,ALVARO FERNANDEZ,9 cpos.,14,6.6
19,9,2,SCAR,INTERNATIONAL STAR (USA),KAROLO,479,CARLOS ORTEGA,55,JOSE M. ALVAREZ D.,9 1/2 cpos.,12,8.2
19,10,9,MI RINCON,ALFONSO (USA),SANCHEZ Q. RODRIGO,466,PIERO REYES P.,56,RODRIGO SANCHEZ,11 cpos.,13,6.2
19,11,10,SUBI,PASSION FOR GOLD,AS,462,RICARDO SOLORZA,57,ALEXIS PEREZ,12 cpos.,14,34
19,12,7,JOHN COOPER,SCAT ROYAL,FOLLI,462,ROBERTO AVILA,55,RAUL MONTESINO,13 1/4 cpos.,12,48.7
19,13,1,CINABRIO,VERRAZANO (USA),ROBLEDO'S,504,NICOLAS MOLINA,55,THEODORE CACHELY,16 1/4 cpos.,12,26.5
