Reunion,Carrera,Hora,Distancia,Lugar,Numero,Ejemplar,Padrillo,Peso_Fisico,Peso_Jinete,Jinete,Preparador,Stud,Dividendo
7,7,15:02,1200m,14°,10,Est Bella,Mendelssohn,455k,55k,A. Varas,José Venegas P.,Jose Venegas P.,4.10
7,8,15:27,1200m,1°,9,Hugo El Terrible,California One,390k,53k,N. Rojas,Oscar Donate S.,Bruno Alonso,8.80
7,8,15:27,1200m,2°,10,Grande Tata Rey,Cunco,438k,57k,G. Aros,Rodrigo Quiroz S.,Tata Rey,6.20
7,8,15:27,1200m,3°,5,My Sweet Lord,Cunco,454k,57k,T. Seith,Cristian Quiroz E.,Haras Santa Mónica,79.20
7,8,15:27,1200m,4°,2,Dos Locos,Grand Daddy,500k,57k,J. González,Mario A. Apablaza G.,Cabritis,43.30
7,8,15:27,1200m,5°,8,Pedernales,Bad Daddy,416k,57k,M. Galáz,Manuel Norambuena Ch.,Dejenme Sonar,6.20
7,8,15:27,1200m,6°,1,Angel En El Cielo,Awesome Patriot,410k,57k,F. Henríquez,Manuel Norambuena Ch.,Charito,3.20
7,8,15:27,1200m,7°,15,Grand Lucho,Grand Daddy,501k,57k,J. Cueto,Juan Gonzalez M.,Oxiper,70.70
7,8,15:27,1200m,8°,7,Apapachador,Awesome Patriot,447k,53k,R. Fournet,Cristián Urbina R.,Patricio Millar M.,4.10
7,8,15:27,1200m,9°,6,El Gagui,Distorted Economy,413k,57k,N. Santibañez,Patricio Valderrama C.,El Patron,16.30
7,8,15:27,1200m,10°,11,Floro Chico,El Manu,450k,57k,L.D. Menghini,Eugenio Switt V.,Mackay,142.20
7,8,15:27,1200m,11°,14,Alfonso El Grande,Alfonso,445k,57k,N. Molina,Claudio Bernal G.,Tata Menghini,140.50
7,8,15:27,1200m,12°,13,American Bunny,Happy Bunny,426k,57k,M. Gutiérrez,Cristobal. Gonzalez M.,Don Manu,4.50
7,8,15:27,1200m,13°,12,Teen Wolf,Ivan Denisovich,443k,56k,J. Eyzaguirre,Leopoldo Parra G.,Gonzalez Toro,170.40
7,8,15:27,1200m,14°,3,Todos Mis Nietos,Lookin At Lucky,462k,57k,B. Troncoso,Oscar Donate S.,Guillermo Cordova T.,10.30
7,8,15:27,1200m,U°,4,Miguel Angel Nomas,Dubai Sky,462k,57k,C.. Muñoz,Rodrigo Quiroz S.,Arturo Y Cecilia,157.90
7,9,15:52,1500m,1°,3,Warnasitay,Robert Bruce,460k,55k,B. Sancho,Cristián Urbina R.,Colo Colo,2.20
7,9,15:52,1500m,2°,6,Muchova,Good Samaritan,458k,60k,K. Espina,Mario Rabajille D.,Matriarca,3.70
7,9,15:52,1500m,3°,4,Inna,Patternrecognition,457k,55k,B. León,Pedro Molina I.,Isla Torina,26.50
7,9,15:52,1500m,4°,5,Piazza Veneta,Robert Bruce,506k,55k,V. Miranda,Alejandro Padovani E.,Martino,25.40
7,9,15:52,1500m,5°,7,Heart Girl,Seahenge,514k,60k,J. Herrera,José Alvarez D.,Haras Porta Pía,7.70
7,9,15:52,1500m,6°,1,Floriana,Classic Empire,425k,60k,G. Ulloa,Jorge Andrés Inda D.,Benicia,3.00
7,9,15:52,1500m,7°,2,Isidora Mia,Cunco,492k,60k,A. Apablaza,Alejandro Padovani E.,Florencia Paz,43.20
7,9,15:52,1500m,U°,8,That's The Way,Flameaway,501k,55k,H. Ochoa,Rodrigo Sánchez Q.,Paola,6.50
7,10,16:19,1200m,1°,2,Hermano Eric,Gemologist,477k,55k,V. Miranda,Alejandro Padovani E.,Carjor,6.10
7,10,16:19,1200m,2°,7,Futuro Capitan,Patternrecognition,465k,56k,R. Painen,J. Araya B.,El Remanso,4.60
7,10,16:19,1200m,3°,3,Patyta Black,International Star,396k,57k,F. Henríquez,Manuel Norambuena Ch.,Primo Hermano,8.20
7,10,16:19,1200m,4°,9,Sogna Con Me,Ya Primo,437k,56k,A. Varas,José Venegas P.,Jose Venegas P.,8.90
7,10,16:19,1200m,5°,1,Cose Della Vita,International Star,0k,56k,P. Robles,Alexis Pérez D.,Energía,3.60
7,10,16:19,1200m,6°,10,Nuevo Horizonte,Stevie Wonderboy,433k,56k,M. Gutiérrez,Rodrigo Quiroz S.,El Kaiser,13.60
7,10,16:19,1200m,7°,11,Meme,Good Samaritan,404k,56k,J. Herrera,Rafael Bernal G.,Sema,3.90
7,10,16:19,1200m,8°,6,Mal Mirada,Il Rey Ivan,444k,56k,D. Carrasco,Jaime Espineira C.,Jaime Espiñeira C.,58.40
7,10,16:19,1200m,9°,14,Audelio,Gemologist,484k,56k,P. Reyes,Julio Castillo D.,El Gallito,18.60
7,10,16:19,1200m,10°,4,Soñado Campeon,El Hueñe,514k,56k,J. Eyzaguirre,Julio Castillo D.,Tilin Corto La Cuerda,14.80
7,10,16:19,1200m,11°,5,Tango,International Star,487k,56k,M. Donoso,Francisco Pinochet P.,Sagardia Hnos.,32.60
7,10,16:19,1200m,12°,8,Mas Amor,Ya Primo,427k,55k,J. Cueto,Juan Ubilla P.,Forza Al Canut,36.20
7,10,16:19,1200m,13°,13,City Blue,Seeking The Dia,421k,55k,C. Hernández,José Venegas P.,Jose Venegas P.,59.80
7,11,16:44,1400m,1°,4,Primer Vals,Midshipman,498k,60k,J. Herrera,Julio Orellana R.,Doña Eliana,2.40
7,11,16:44,1400m,2°,2,Kauto Y Pillo,Katmai,500k,60k,B. León,Juan Pablo Baeza J.,Haras Santa Loreto,7.40
7,11,16:44,1400m,3°,3,Churruco,Classic Empire,469k,55k,N. Ramirez,Carlos Urbina H.,Quinchao,4.50
7,11,16:44,1400m,4°,6,Lerici,Constitution,490k,60k,B. Troncoso,Oscar Donate S.,Guillermo Cordova T.,39.00
7,11,16:44,1400m,5°,5,Yahshua,Good Samaritan,473k,60k,I. Valdivia,Rodrigo Pulgar A.,Tio Javi,3.50
7,11,16:44,1400m,6°,7,Hey Joke,Practical Joke,500k,60k,K. Espina,Cristobal. Gonzalez M.,Charito,2.90
7,11,16:44,1400m,U°,1,Guena Petete,Layman,478k,60k,R. Araya,Eduardo Lab R.,Los Reyes,42.80
7,12,17:10,1200m,1°,11,La Gioconda,Papelon,408k,55k,B. León,Juan Pablo Baeza J.,Mano a Mano,6.70
7,12,17:10,1200m,2°,4,Magoshisha,Palm Springs,468k,55k,N. Molina,Rodrigo Quiroz S.,Don Gil,2.90
7,12,17:10,1200m,3°,8,Pensando En Vos,The Lumber Guy,435k,55k,N. Santibañez,Patricio Valderrama C.,Santa Veronica,39.70
7,12,17:10,1200m,4°,3,Trata De Cambiar,Flyer,417k,55k,J. Zúñiga,Oliverio Martínez L.,Los Pickles,68.20
7,12,17:10,1200m,5°,6,Karthika,Kingly,451k,55k,N. Ramirez,J. Araya B.,Haras Mocito Guapo,4.60
7,12,17:10,1200m,6°,10,Lady Kingly,Kingly,433k,55k,J. Medina,Juan Pablo Baeza J.,Carillanca,4.90
7,12,17:10,1200m,7°,2,Ema Shadow,Spun to Run,459k,55k,R.S. Dores,Mario Rabajille D.,Matriarca,15.20
7,12,17:10,1200m,8°,1,Badra,Big Daddy,423k,55k,M. Gutiérrez,Claudio Bernal G.,Haras Mocito Guapo,28.80
7,12,17:10,1200m,9°,9,Lawbreaker,Tiz the Law,450k,55k,V. Miranda,Alejandro Padovani E.,Keep Walking,3.50
7,12,17:10,1200m,10°,5,Melipilla Rock,Katmai,476k,52k,N. Rojas,Alejandro Padovani E.,Veintiseis,10.50
7,12,17:10,1200m,U°,7,Dollar Tree,Spun to Run,442k,55k,B. Soto,J. Araya B.,Baemar,78.20
7,13,17:38,1400m,1°,10,Rey Gabriel Andres,Distorted Economy,445k,55k,N. Molina,Alberto Aviles L.,Alberto Aviles L.,8.90
7,13,17:38,1400m,2°,11,Zapiga,Spun to Run,0k,57k,J. Herrera,Luis Urbina H.,Josemac,4.90
7,13,17:38,1400m,3°,4,My Resilience,International Star,434k,54k,J. Zúñiga,Aldo Castagneto U.,Desafio,13.40
7,13,17:38,1400m,4°,6,Sigue Igual,Alfonso,466k,57k,A. Varas,Julio Castillo D.,Baemar,13.10
7,13,17:38,1400m,5°,2,Shooting Moon,Alfonso,472k,57k,O. Ulloa,Juan Pablo Baeza J.,Auguri,1.70
7,13,17:38,1400m,6°,14,Chiquito Campeador,Midshipman,420k,57k,M. Gutiérrez,Rafael Bernal G.,Santa Ana,16.40
7,13,17:38,1400m,7°,1,Linz,Constitution,476k,57k,S. Muñoz,José Bravo M.,Cecilia Falconi,11.90
7,13,17:38,1400m,8°,13,El Cobalto,Boboman,508k,57k,J. Toro,Julio Castillo D.,Corral Hipico,20.50
7,13,17:38,1400m,9°,3,Peluka,Frank Conversation,442k,51k,H. Ochoa,Juan C. Pichara J.,Seguir Soñando,12.10
7,13,17:38,1400m,10°,15,Lyngote,Ivan Denisovich,505k,55k,B. Ayala,Luis Machulas G.,Cayo,30.50
7,13,17:38,1400m,11°,5,Sonata Celta,Mo Town,370k,54k,H. Barrera,Rodrigo Quiroz S.,Lucaraste,49.50
7,13,17:38,1400m,12°,7,Ofestivo,Omayad,466k,57k,J. González,Jaime Espineira C.,Jaime Espiñeira C.,34.50
7,13,17:38,1400m,13°,9,Vita Kc,Newfoundland,426k,55k,B. Sancho,Andrés Bernal G.,Pichon,37.90
7,14,18:04,1200m,1°,3,Zulema Zahir,War Command,406k,54k,S. González,J. Araya B.,El Mero Mero,4.70
7,14,18:04,1200m,2°,7,Spun To Charm,Spun to Run,485k,57k,I. Valdivia,Cristián Urbina R.,Kekita,3.30
7,14,18:04,1200m,3°,10,Angeolina,International Star,483k,55k,B. Troncoso,Alejandro Padovani E.,Haras Mocito Guapo,15.80
7,14,18:04,1200m,4°,11,Alazan Lucero,Flameaway,523k,55k,V. Miranda,Alejandro Padovani E.,Carnes Oly,2.20
7,14,18:04,1200m,5°,2,Stanafuera,Monthir,512k,56k,R. Painen,Maritza Pérez A.,Morautos,10.70
7,14,18:04,1200m,6°,1,Esterios,Boboman,547k,57k,A. Varas,Alejandro Padovani E.,Gaona Hermanos,6.90
7,14,18:04,1200m,7°,9,Capo Azzurra,Monthir,498k,54k,N. Santibañez,Patricio Valderrama C.,Bruno Alonso,42.10
7,14,18:04,1200m,8°,4,Rapido Y Veloz,Good Samaritan,444k,55k,P. Reyes,Claudio Bernal G.,Mar Y Sol,19.10
