Carrera,Hora,Premio,Distancia,Superficie,Numero,Caballo,Peso,Jinete,Preparador,Pozo
5,14:54,TORTOLITO,1000,ARENA,8,LUQUITAS,57,O. Cheuque,B. Sancho,"MEGATRIPLE N°2 $ 10.000.000 / MEGA SUPERFECTA $ 1.000.000"
5,14:54,TORTOLITO,1000,ARENA,9,ERKAN,57,T. Cachely,N. Molina,"MEGATRIPLE N°2 $ 10.000.000 / MEGA SUPERFECTA $ 1.000.000"
5,14:54,TORTOLITO,1000,ARENA,10,FLY STELLAS,57,O. Martinez L,L. C. Gonzalez,"MEGATRIPLE N°2 $ 10.000.000 / MEGA SUPERFECTA $ 1.000.000"
5,14:54,TORTOLITO,1000,ARENA,11,CAREMECHE,57,F. Taun,R. Serrano G.,"MEGATRIPLE N°2 $ 10.000.000 / MEGA SUPERFECTA $ 1.000.000"
5,14:54,TORTOLITO,1000,ARENA,12,EL SALVADOR,57,A. Padovani E.,V. Miranda,"MEGATRIPLE N°2 $ 10.000.000 / MEGA SUPERFECTA $ 1.000.000"
5,14:54,TORTOLITO,1000,ARENA,13,KILAN,57,Fco. Pinochet P.,M. A. Donoso,"MEGATRIPLE N°2 $ 10.000.000 / MEGA SUPERFECTA $ 1.000.000"
5,14:54,TORTOLITO,1000,ARENA,14,CHARLY CHARLY,57,Seb. Gonzalez,J. Silva B.,"MEGATRIPLE N°2 $ 10.000.000 / MEGA SUPERFECTA $ 1.000.000"
6,15:21,TASTE,1400,ARENA,1,FLIGHT OF ICARUS,54,L. C. Gonzalez,S. Morales G.,"MEGA SPF / DOBLE / MEGATRIP N°2 ETP 2"
6,15:21,TASTE,1400,ARENA,2,BEST PLAYER,59,R. Fuenzalida,R. Silva S.,"MEGA SPF / DOBLE / MEGATRIP N°2 ETP 2"
6,15:21,TASTE,1400,ARENA,3,MILTEO,60,N. Santibañez,Cr. Urbina R.,"MEGA SPF / DOBLE / MEGATRIP N°2 ETP 2"
6,15:21,TASTE,1400,ARENA,4,LA MARRE,54,Seb. Gonzalez,Js. Araya B.,"MEGA SPF / DOBLE / MEGATRIP N°2 ETP 2"
6,15:21,TASTE,1400,ARENA,5,SACANNE,53,R. Cisternas,J. Orellana R.,"MEGA SPF / DOBLE / MEGATRIP N°2 ETP 2"
6,15:21,TASTE,1400,ARENA,6,INDIAN POET,61,M. Chamorro,R. Montesino S.,"MEGA SPF / DOBLE / MEGATRIP N°2 ETP 2"
6,15:21,TASTE,1400,ARENA,7,MR YO,59,R. S. Dores,C. Gonzalez M.,"MEGA SPF / DOBLE / MEGATRIP N°2 ETP 2"
6,15:21,TASTE,1400,ARENA,8,EL GRIEGO,56,J. Medina,P. Baeza A.,"MEGA SPF / DOBLE / MEGATRIP N°2 ETP 2"
6,15:21,TASTE,1400,ARENA,9,SOY DEL CICLON,58,J. Toro,J. Pinochet P.,"MEGA SPF / DOBLE / MEGATRIP N°2 ETP 2"
6,15:21,TASTE,1400,ARENA,10,HARRY GO,57,P. Robles,Js. Araya B.,"MEGA SPF / DOBLE / MEGATRIP N°2 ETP 2"
7,15:48,TATAN ROYALE,1400,ARENA,1,LARRYKANE,55,J. A. Miño,W. Ara D.,"DOBLE / MEGATRIP N°2 ETP 3"
7,15:48,TATAN ROYALE,1400,ARENA,2,NA NI NA,58,R. S. Dores,D. Matte D.,"DOBLE / MEGATRIP N°2 ETP 3"
7,15:48,TATAN ROYALE,1400,ARENA,3,DON MATIAS,58,T. Seith,O. Martinez L.,"DOBLE / MEGATRIP N°2 ETP 3"
7,15:48,TATAN ROYALE,1400,ARENA,4,CELTIC DAD,54,J. Medina,P. Baeza A.,"DOBLE / MEGATRIP N°2 ETP 3"
7,15:48,TATAN ROYALE,1400,ARENA,5,DEMIR,54,I. Valdivia,J. Pinochet P.,"DOBLE / MEGATRIP N°2 ETP 3"
7,15:48,TATAN ROYALE,1400,ARENA,6,ZALAVERRY,60,V. Miranda,A. Padovani E.,"DOBLE / MEGATRIP N°2 ETP 3"
7,15:48,TATAN ROYALE,1400,ARENA,7,SOS DE BOCA,58,L. Torres,C. Gonzalez M.,"DOBLE / MEGATRIP N°2 ETP 3"
7,15:48,TATAN ROYALE,1400,ARENA,8,FREUD WISH,56,W. Quinteros,C. Garcia V.,"DOBLE / MEGATRIP N°2 ETP 3"
7,15:48,TATAN ROYALE,1400,ARENA,9,STATE OF GRACE,57,Jr. A. Gonzalez,C. Gonzalez M.,"DOBLE / MEGATRIP N°2 ETP 3"
