reunion,carrera,lugar,partida,ejemplar,padre,stud,peso_fisico,jinete,peso_jinete,preparador,distancia,indice,dividendo
87,10,11,8,RAIRET,DYLAN THOMAS,CHARITO,432,RICARDO SOLORZA,57,CRISTOBAL GONZALEZ M.,6 1/2 cpos.,14,73.2
87,10,12,4,MI NIETO FRANK,FRANK CONVERSATION,LOS MAGUITOS,436,RODOLFO S. DORES,57,RAUL MONTESINO,12 3/4 cpos.,14,5.6
87,11,1,4,REINA EGIPCIA,SPUN TO RUN,BARTI,0,JOHAN GONZALEZ,57,FRANCISCO PINOCHET,Ganador,10,21.8
87,11,2,1,VALKYRIE LEGEND,GOOD SAMARITAN,MANUELITO,439,BASTIAN SOTO,55,JOSE ARAYA B.,5 1/4 cpos.,8,1.8
87,11,3,5,BESOS DE MIEL,FLAMEAWAY,LOS BRUJOS,429,BENJAMIN SANCHO,58,JUAN RODRIGUEZ R.,6 3/4 cpos.,11,3.8
87,11,4,6,CHOW CHOW,GOOD SAMARITAN,SAGARDIA HNOS.,486,PIERO REYES P.,60,OSCAR SILVA G.,6 3/4 cpos.,13,4.1
87,11,5,7,CAPITANA MARVEL,INTERNATIONAL STAR,LO CAMPO,440,LESLY C. GONZALEZ,55,OLIVERIO MARTINEZ,7 1/4 cpos.,8,43.3
87,11,6,11,TEA AND MILK,LOOKIN AT LUCKY,SERGIRROA,411,ROBERTO AVILA,55,RAUL MONTESINO,9 1/2 cpos.,8,8.3
87,11,7,9,UNDER THE LIGHT,MENDELSSOHN,TORRES,421,MAURICIO GALAZ,56,RAUL MONTESINO,9 1/2 cpos.,9,21.3
87,11,8,10,BRUJO DORADO,OCEAN TERRACE,FRITZI,442,DIEGO CARRASCO,56,JUAN RODRIGUEZ R.,12 1/2 cpos.,9,18.9
87,11,9,2,AMPAWAN,KATMAI,ROGER WELLMANN H.,437,JOSE PAREDES,55,JOSE ARAYA B.,13 1/2 cpos.,9,58.4
87,11,10,8,ARTHUR SHELBY,GRAND DADDY,EL MERO MERO,447,RODRIGO PAINEN,59,JOSE ARAYA B.,14 3/4 cpos.,9,14.1
87,11,11,3,EL KING,MEGLIORE DI TUTTI,AJSA,430,JOSE CUETO,56,HERNAN ULLOA,14 3/4 cpos.,10,97.5
87,12,1,8,PALACETE,TICKET TO RUN,MARITA,471,JONATHAN A. CASTILLO,56,ALDO PARRA D.,Ganador,20,2.6
87,12,2,3,LIMATOWN,MO TOWN,LOS MAGUITOS,446,BERNARDO LEON,57,ALDO PARRA D.,1/2 cpo.,21,4.9
87,12,3,2,BREGO,BAD DADDY,SHOT MENZEL,468,BASTIAN SOTO,56,JOSE ARAYA B.,3/4 cpos.,20,7.6
87,12,4,5,SONRISA DULCE,SEEKING THE DIA,NONO,464,PEDRO ROBLES,58,JOHN PINOCHET,3/4 cpos.,23,7.5
87,12,5,10,BALDER EL NORUEGO,STEVIE WONDERBOY,SOL DE NORUEGA,478,RODOLFO FUENZALIDA,55,ANDRES BERNAL,2 1/4 cpos,19,5.5
87,12,6,9,EL QUE LA LLEVA,ECLIPTIC,FRANCISCO FAUNDEZ,493,ALVARO APABLAZA,54,FRANCISCO FAUNDEZ LL,3 1/2 cpos.,24,13.4
87,12,7,1,WONDERFUL STAR,MENDELSSOHN,AMALGAMA,416,BENJAMIN TRONCOSO,53,RODRIGO PULGAR,4 cpos.,17,4.7
87,12,8,4,PLUMA DE MAR,MENDELSSOHN,MV JR.,391,RICARDO SOLORZA,56,CARLOS GARCIA,5 3/4 cpos.,21,54.1
87,12,9,6,DISMAI,KATMAI,RIO QUILIMARI,477,BENJAMIN SANCHO,57,JUAN RODRIGUEZ R.,10 1/4 cpos.,21,11.6
87,12,10,7,ROYAL DUBLIN,KATMAI,CLARO,491,JUAN TAPIA,54,ALDO CASTAGNETO,11 1/4 cpos.,18,45.7
87,13,1,7,PARA SIEMPRE,GOOD SAMARITAN,VELARDE B MANUEL A,386,NICOLAS MOLINA,55,MANUEL VELARDE,Ganador,-4,8.6
87,13,2,5,EUSKERA,FLAMEAWAY,VIEJO ZORRO,423,BENJAMIN TRONCOSO,56,ALDO PARRA D.,2 1/2 cpos.,7,12.4
87,13,3,3,FIOR DI LATTE,THE LUMBER GUY,PREMIUM,406,JOAQUIN HERRERA,55,JOSE M. ALVAREZ D.,3 1/2 cpos.,-1,14
87,13,4,8,LA QUE MAS CHAE,FLYER,FERRO,479,PEDRO ROBLES,55,JOHN PINOCHET,3 3/4 cpos.,-3,3.3
87,13,5,13,DARLING,FLAMEAWAY,HARAS SANTA SARA,450,NICOLAS RAMIREZ,55,JOHN PINOCHET,4 3/4 cpos.,7,4.2
87,13,6,9,NAHUEN,GRAN CARBONCILLO,HERMANOS DIAZ,467,AGUSTIN VILLAGRA,51,RAUL MONTESINO,5 3/4 cpos.,-1,37
87,13,7,15,LUGA,MENDELSSOHN,MARQUES,423,JONATHAN A. CASTILLO,55,ALDO PARRA D.,7 1/4 cpos.,-1,3.6
87,13,8,12,CHE AWAY,FLAMEAWAY,IDENTIC,435,NELSON ROJAS,52,PATRICIO BAEZA A.,9 3/4 cpos.,-9,3.9
87,13,9,11,PASION ALBA,MENDELSSOHN,LOS PARDITOS,403,BENJAMIN SANCHO,56,JUAN RODRIGUEZ R.,11 3/4 cpos.,-2,6.6
87,13,10,10,LIVIA DRUSA,RYDILLUC,EL GRAN JOSE,405,LESLY C. GONZALEZ,55,WALESKA PEÑA,12 1/2 cpos.,-1,45.2
87,13,11,6,DAMA DE LA LUZ,IL REY IVAN,JAQUE S ANGEL,459,JOSE VILLABLANCA,55,ANGEL JAQUE S.,12 1/2 cpos.,-1,49.9
87,13,12,14,GRAN COMPAÑERA,SPUN TO RUN,LEITO,434,CARLOS ORTEGA,55,JOSE M. ALVAREZ D.,12 3/4 cpos.,-9,4.4
87,13,13,4,HILDITA MIA,EL MILAGRITO,HILDITA,468,JOHAN GONZALEZ,55,ANDRES BERNAL,13 1/2 cpos.,7,69.4
87,13,14,2,LA INTIFADA,FLAMEAWAY,HACIENDA PINTACURA,456,BERNARDO LEON,55,JOSE INDA DE LA C.,26 1/2 cpos.,7,2.7
87,13,RT,1,PONTE TU,YA PRIMO,LOS PSIQUICOS,0,NICOLAS SANTIBAÑEZ,55,SERGIO ALVARADO P.,Retirado,0,0
87,14,1,7,RICONDITA,MENDELSSOHN,STUD HARAS DON ALBERTO,451,JAIME MEDINA,54,PATRICIO BAEZA A.,Ganador,15,2.9
87,14,2,6,CUKUCHI,KINGLY,HARAS MOCITO GUAPO,482,VICTOR MIRANDA,54,ALEJANDRO PADOVANI E.,Nariz,15,4.5
87,14,3,2,LA ITALIA MIA,MENDELSSOHN,STUD EL MIRADOR,434,JOAQUIN HERRERA,54,JULIO ORELLANA,pczo.,14,34
87,14,4,10,RANI,KINGLY,FAROLITO,411,PEDRO ROBLES,54,JOHN PINOCHET,1 1/4 cpos.,14,21.4
87,14,5,3,GOLFISTA,IVAN DENISOVICH,CHARITO,416,MIGUEL GUTIERREZ,54,CRISTOBAL GONZALEZ M.,2 1/2 cpos.,11,64.7
87,14,6,11,TAUHERE,MENDELSSOHN,STUD MARENGA,451,SEBASTIAN GONZALEZ,54,JORGE A. INDA DE LA C.,3 cpos.,12,7.4
87,14,7,13,DADDYS BABY,GRAND DADDY,HARAS MOCITO GUAPO,442,NICOLAS RAMIREZ,54,JOSE ARAYA B.,3 1/4 cpos.,12,57.3
87,14,8,4,GONE RITAN,GOOD SAMARITAN,IDENTIC,450,NELSON ROJAS,54,PATRICIO BAEZA A.,5 cpos.,15,14.6
87,14,9,12,CITLALLI,SEEKING THE DIA,STUD MARENGA,501,RODOLFO FUENZALIDA,54,PATRICIO BAEZA A.,6 cpos.,17,5.5
87,14,10,1,TIA GUACOLDA,EL FARRERO,MASAIVA,434,JOHAN GONZALEZ,54,OLIVERIO MARTINEZ,11 1/2 cpos.,11,53.4
87,14,11,9,RAPILLANA,IVAN DENISOVICH,MONTESINO S. RAUL,401,BASTIAN SOTO,54,RAUL MONTESINO,13 cpos.,11,40.6
87,14,12,8,NIÑITA POR DIOS,GRAN CARBONCILLO,HERMANOS DIAZ,474,AGUSTIN VILLAGRA,51,RAUL MONTESINO,15 1/2 cpos.,12,43.8
87,14,13,5,BULLA BLUE,PATTERNRECOGNITION,LOS POLLITOS,449,WILBERT LEON,54,JOHN PINOCHET,15 1/2 cpos.,12,56.2
87,15,1,1,SINGLE BARREL,MENDELSSOHN,CITRAL,512,NICOLAS MOLINA,51,JOHN PINOCHET,Ganador,37,6.8
87,15,2,12,JOHNNY DOGS,ZAWRAQ,ANDONI CONCHA,435,NICOLAS RAMIREZ,60,RODRIGO SILVA S.,1 cpo.,47,2.7
