Fecha,Carrera,Hora,Distancia,Numero,Caballo,Padrillo,Peso,Jinete,Preparador,Ultimos_Resultados,DSC,Probable,Pronostico_Ranking
27/12/2025,12,16:24,1200m,1,Bello Encanto,Gstaad II,54,Daniel Medina,José Bravo M.,6-1-9-12-4,7,15.6,1
27/12/2025,12,16:24,1200m,2,Moment Of Get,Get Jets,56,Bernardo León,Mario Covarrubias,1-11-12-5-6,9,8.6,
27/12/2025,12,16:24,1200m,3,Ukiyo,California Chrome,55,Cathrine Weilby,Maritza Pérez A.,6-5-8-7-7,7,12.5,
27/12/2025,12,16:24,1200m,4,Volaste A La Meta,Dylan Thomas,56,Marco Morales,Pedro Diaz S.,3-11-10-3-9,9,10.2,
27/12/2025,12,16:24,1200m,5,Dalemita,Dubai Sky,54,Patricio Zúñiga,Rodrigo Quiroz S.,9-8-4-7-6,7,11.3,
27/12/2025,12,16:24,1200m,6,Sir Caleb,Business Bay,55,Ariel Zúñiga,Ricardo Rojas S.,3-6-1-8-2,9,7.5,
27/12/2025,12,16:24,1200m,7,Callahan,Viscount Nelson,55,Rodrigo Covarrubias,Genaro J. Covarrubias E.,11-1-1-8-10,9,10.1,
27/12/2025,12,16:24,1200m,8,Princesa Ruby,Admiral,56,Gustavo Aros,Rodrigo López B.,9-6-9-2-3,14,14.0,4
27/12/2025,12,16:24,1200m,9,Mal Mirada,Il Rey Ivan,56,Rafael Cisternas,Jaime Espineira C.,6-2-9-3-1,9,14.6,3
27/12/2025,12,16:24,1200m,10,Sand Thick,Dylan Thomas,56,José Rodríguez,Oscar Donate S.,7-7-1-7-11,2,14.9,2
27/12/2025,12,16:24,1200m,11,Arte De Magia,Van Nistelrooy,55,Victor Miranda,Alejandro Padovani E.,11-13-13-5-12,9,13.0,
27/12/2025,12,16:24,1200m,12,Maria Pascuala,Gemologist,55,Jorge Vera,Rodrigo Quiroz S.,12-10-10-13-6,9,9.8,
27/12/2025,12,16:24,1200m,13,Tommy Wonder,Aragorn II,56,Rodolfo S. Dores,Aldo Castagneto U.,14-8-10-12-5,9,10.9,
27/12/2025,12,16:24,1200m,14,Juniper,Distorted Economy,54,Alvaro Apablaza,Jaime Hirmas R.,1-12-2-5-11,9,10.8,
27/12/2025,12,16:24,1200m,15,Salma Alegre,Gstaad II,56,Piero Reyes,Eugenio Switt V.,12-11-1-2-2,7,13.5,
27/12/2025,13,16:49,1200m,1,El Batey,Gran Villano,51,Alberto Vásquez,Rodrigo López B.,7-3-6-1-10,7,16.7,
27/12/2025,13,16:49,1200m,2,Practical Sisi,Practical Joke,59,Ignacio Valdivia,Pedro Diaz S.,11-12-5-2-4,14,25.6,3
27/12/2025,13,16:49,1200m,3,Triplecoronado,Awesome Patriot,56,Gustavo Aros,Rodrigo Pulgar A.,5-5-4-9-6,14,17.0,
27/12/2025,13,16:49,1200m,4,Kauto Y Pillo,Katmai,58,Jaime Medina,Juan Pablo Baeza J.,1-5-2-4-1,14,29.3,2
27/12/2025,13,16:49,1200m,5,Lerici,Constitution,50,Jorge Zúñiga,Oscar Donate S.,5-5-5-3-6,16,18.5,
27/12/2025,13,16:49,1200m,6,Rechazado,Cunco,56,Johan González,Genaro J. Covarrubias E.,3-U-7-5-4,7,19.1,4
27/12/2025,13,16:49,1200m,7,Kapichu,Endorsement,56,Benjamin Troncoso,Oscar Silva S.,6-7-U-11-5,12,8.6,
27/12/2025,13,16:49,1200m,8,Voy Pal Pueblo,Good Samaritan,59,Jorge A. González,Carlos Urbina H.,5-12-2-2-6,37,33.4,1
27/12/2025,13,16:49,1200m,9,Good Traffic,Good Samaritan,60,Joaquín Herrera,Oscar Donate S.,2-2-4-3-7,7,18.0,
