Fecha,Hipodromo,Carrera,Hora,Distancia,Condicion,Lugar,Numero,Ejemplar,Padrillo,Edad,Peso_Fisico,Distancia_Al_Primero,Peso_Jinete,Jinete,Preparador,Stud,Dividendo
27/12/2025,Hipódromo Chile,7,14:16,1900m,Handicap (Hd) 11 al 3,2,8,Scar,International Star,4,473k,1,57k,J. Herrera.,José Alvarez D.,Karolo,2.50
27/12/2025,Hipódromo Chile,7,14:16,1900m,Handicap (Hd) 11 al 3,3,4,Sueños De Leon,Tapitdoro,3,471k,2¼,55k,F. Henríquez.,Julio Castillo D.,Clauseb,7.40
27/12/2025,Hipódromo Chile,7,14:16,1900m,Handicap (Hd) 11 al 3,4,7,Zulthan,Classic Empire,3,464k,6½,54k,W. León.,Jaime Espineira C.,Jaime Espiñeira C.,18.70
27/12/2025,Hipódromo Chile,7,14:16,1900m,Handicap (Hd) 11 al 3,5,9,El Florito,Ascot Prince,7,441k,7¼,57k,B. León.,Rafael Bernal G.,Alto Las Piedras,10.30
27/12/2025,Hipódromo Chile,7,14:16,1900m,Handicap (Hd) 11 al 3,6,10,Los Bisnietos,Constitution,3,522k,7¾,55k,R. Cisternas.,Julio Orellana R.,El Tata,4.00
27/12/2025,Hipódromo Chile,7,14:16,1900m,Handicap (Hd) 11 al 3,7,2,El Puntuo,Good Samaritan,5,480k,9¾,57k,J. Zúñiga.,J. Araya B.,Arriba Del Sillon,4.20
27/12/2025,Hipódromo Chile,7,14:16,1900m,Handicap (Hd) 11 al 3,8,6,Good Chief,Good Samaritan,4,437k,13½,53k,J. Cueto.,Isaac Michea F.,Lgs Generadores,63.80
27/12/2025,Hipódromo Chile,7,14:16,1900m,Handicap (Hd) 11 al 3,9,5,Rasheem,Seeking The Dia,7,440k,20¾,50k,J. Soto.,Isaac Michea F.,Lgs Generadores,102.00
27/12/2025,Hipódromo Chile,7,14:16,1900m,Handicap (Hd) 11 al 3,U,3,Gran Pepe,Grand Daddy,7,544k,43,53k,L.D. Menghini.,Eugenio Switt V.,Dossetto,50.40
27/12/2025,Hipódromo Chile,8,14:42,1200m,Handicap (Hd) 4 al 3,1,10,Paquete Platico,Awesome Patriot,5,420k,,56k,M. Bustamante.,Eugenio Switt V.,Misacrisei,15.50
27/12/2025,Hipódromo Chile,8,14:42,1200m,Handicap (Hd) 4 al 3,2,9,Chiqui Veloz,Gstaad II,6,403k,3¼,56k,J. Castillo.,Luis Toledo C.,Juana Castro De T.,11.30
27/12/2025,Hipódromo Chile,8,14:42,1200m,Handicap (Hd) 4 al 3,3,13,Red Knight,Ivan Denisovich,6,483k,3¾,56k,J. Vera.,Claudio Bernal G.,Mario Y Elodia,2.40
27/12/2025,Hipódromo Chile,8,14:42,1200m,Handicap (Hd) 4 al 3,4,8,Lady Chrome,California Chrome,6,429k,5¼,56k,L. Silva.,Hernán Pacheco P.,Papi Rey,6.60
27/12/2025,Hipódromo Chile,8,14:42,1200m,Handicap (Hd) 4 al 3,5,14,Marrakech,El Milagrito,4,449k,5¼,55k,R. Covarrubias.,Genaro J. Covarrubias E.,La Corina,8.00
27/12/2025,Hipódromo Chile,8,14:42,1200m,Handicap (Hd) 4 al 3,6,2,Lady Bay,Neko Bay,4,380k,8,56k,A. Covarrubias.,José Lastra B.,Viejo Querido,28.30
27/12/2025,Hipódromo Chile,8,14:42,1200m,Handicap (Hd) 4 al 3,7,15,Me Veras Caer,Iron Clad,4,415k,10¾,56k,J. Zúñiga.,Julio Castillo D.,Carlos Cavieres,6.60
27/12/2025,Hipódromo Chile,8,14:42,1200m,Handicap (Hd) 4 al 3,8,5,Josie Girl,El Facha,6,418k,11,55k,V. Miranda.,Alejandro Padovani E.,Maria Dolores,6.60
27/12/2025,Hipódromo Chile,8,14:42,1200m,Handicap (Hd) 4 al 3,9,7,Cable A Tierra,Fantasmagorico,5,435k,12,55k,J. Solano.,R. Toledo M.,Lor Kedimar,12.30
27/12/2025,Hipódromo Chile,8,14:42,1200m,Handicap (Hd) 4 al 3,10,1,Guanaquero,Seeking The Dia,10,479k,12,55k,J. Villablanca.,Eduardo Lab R.,Yungay,131.00
