Carrera,Hora,Nombre_Premio,Lugar,Partida,Caballo,Padrillo,Stud,Peso_Final,Jinete,Peso_Jinete,Preparador,Distancia,Indice,Dividendo
9,17:15,FUEGO CRUZADO,8,4,TURQUESA DORADA,DYLAN THOMAS,SAPNET STABLE,393,DIEGO CARRASCO,55,WALESKA PEÑA,9 1/4 cpos.,1,28.4
9,17:15,FUEGO CRUZADO,9,8,NOCHE DE PAINE,GET JETS,SAGARDIA HNOS.,412,LUIS D. MENGHINI,55,OSCAR SILVA G.,10 3/4 cpos.,1,29.8
9,17:15,FUEGO CRUZADO,10,11,MI PEQUEÑO SUEÑO,GOOD SAMARITAN (USA),MANOLITO MATIAS,354,CLAUDIO JORQUERA,55,OSCAR SILVA S.,13 1/2 cpos.,1,87.9
9,17:15,FUEGO CRUZADO,11,7,DOÑA ISA,EXAGGERATOR,SILVA S. RODRIGO,413,FRANCO SANCHEZ,54,RODRIGO SILVA S.,17 cpos.,1,65.1
10,17:42,FALFUSH,1,6,EL MERLUZO,HOOTENANNY (USA),CARNES OLY,498,GUSTAVO AROS,57,ALEJANDRO PADOVANI E.,Ganador,37,2.7
10,17:42,FALFUSH,2,3,RUSIO NO ES,GRAND DADDY,VIEJA POLLA,486,RODOLFO FUENZALIDA,58,RODRIGO MUÑOZ,3/4 cpos.,39,3.8
10,17:42,FALFUSH,3,1,MONACO (ARG),CATCHER IN THE RYE,DON CHATO,467,JOAQUIN HERRERA,59,JUAN RODRIGUEZ R.,3/4 cpos.,40,6.1
10,17:42,FALFUSH,4,4,PUISSANT ROI,IVAN DENISOVICH,RULO,444,RODOLFO S. DORES,55,FELIPE GONZALEZ S.,6 1/4 cpos.,37,12.4
10,17:42,FALFUSH,5,9,STRONG DAIKIRI,STRONG MANDATE,LEGACY,502,RODRIGO PAINEN,58,JOSE ARAYA B.,7 cpos.,40,21.4
10,17:42,FALFUSH,6,7,JAIMINI,TOURIST,MERELLO,505,SEBASTIAN GONZALEZ,58,HERNAN ULLOA,8 cpos.,38,5
10,17:42,FALFUSH,7,2,CASTOR TROY,CLOUD COMPUTING,RENAICO,538,PEDRO ROBLES,61,JOSE ARAYA B.,8 1/4 cpos.,44,17.7
10,17:42,FALFUSH,8,5,NA NI NA,COMPETITIVE EDGE,BARROS NEGROS,479,NICOLAS MOLINA,54,DOMINGO MATTE,10 3/4 cpos.,34,5.6
