Carrera,Lugar,Partida,Caballo,Distancia (cuerpos),Jinete,Preparador,Dividendo
10,2º,5,EL UNGIDO,"4 cpos.",JOAQUIN HERRERA,GUILLERMO AGUIRRE,44
10,3º,3,GRAN RAI,"6 3/4 cpos.",NICOLAS RAMIREZ,RODRIGO SANCHEZ,4317.6
10,4º,6,LARRYKANE,"9 1/4 cpos.",HUGO OCHOA,RODRIGO SANCHEZ,367.1
10,5º,9,PRIMER VALS,"9 1/4 cpos.",JAVIER I. GUAJARDO,JULIO ORELLANA,442.6
10,6º,2,CASTOR TROY,"10 3/4 cpos.",RAFAEL CISTERNAS,JOSE ARAYA B.,4616.3
10,7º,1,LUCKY EMPIRE,"12 1/2 cpos.",IGNACIO VALDIVIA,GUILLERMO AGUIRRE,363.4
10,8º,7,ANALOGO,"12 3/4 cpos.",LESLY C. GONZALEZ,FELIPE GONZALEZ S.,4041.2
10,9º,8,SPARTAN,"15 1/4 cpos.",BERNARDO LEON,ALDO PARRA D.,5135.5
11,1º,7,CASUAL VISION,Ganador,DARIEN CHEUQUE,DOMINGO MATTE,520
11,2º,9,MORINGA,"1 1/4 cpos.",NICOLAS RAMIREZ,JOAO CASTILLO L.,87.8
11,3º,1,VOLANTE MIXTO,"5 cpos.",FELIPE HENRIQUEZ,FRANCISCO FAUNDEZ LL,53.6
11,4º,11,FINAU,"8 1/2 cpos.",LUIS GONZALEZ,RODRIGO SANCHEZ,614.7
11,5º,3,EN CAPILLA,"9 cpos.",WLADIMIR QUINTEROS,RODRIGO SILVA S.,619.4
11,6º,15,VAI BENE COSI,"10 cpos.",GERARD RODRIGUEZ,HECTOR MANRIQUEZ,59.3
11,7º,4,TE DIGO ALGO,"10 1/4 cpos.",NICOLAS MOLINA,CLAUDIO BERNAL,813.1
11,8º,6,VITA KC,"11 1/4 cpos.",JORGE ZUÑIGA,ANDRES BERNAL,544.3
11,9º,10,BEHIND THE SUN,"12 cpos.",VICTOR MIRANDA,FELIPE GONZALEZ S.,811.9
11,10º,13,CAMELOT,"13 1/4 cpos.",RONALD FOURNET,CRISTOBAL GONZALEZ M.,73.3
11,11º,8,BENVENUTO CELLINI,"14 3/4 cpos.",RODOLFO FUENZALIDA,FERNANDO SOLAR,66.8
11,12º,12,NONA BLANCA,"16 1/4 cpos.",RODRIGO PAINEN,JOSE ARAYA B.,713.7
11,13º,5,JARDIN OLVIDADO,"19 cpos.",MOISES A. DONOSO,OSCAR SILVA G.,834.2
11,14º,14,KOLETTE,"20 1/4 cpos.",WILBERT LEON,RAUL MONTESINO,637.2
11,RT,2,ANTIOCO,-,BASTIAN SOTO,RAUL MONTESINO,-
12,1º,7,JEREZANO,Ganador,BERNARDO LEON,PEDRO DIAZ S.,338.8
12,2º,10,DEMBO,"1 cpo.",LUIS TORRES,JOSE ARAYA B.,434.4
12,3º,2,MOSALA,"2 1/4 cpos",JAIME MEDINA,RAUL MONTESINO,342.7
12,4º,13,PIANTAO,"3 cpos.",KEVIN ESPINA,ANDRES BERNAL,3731.3
12,5º,1,SINGLE BARREL,"3 cpos.",IGNACIO VALDIVIA,JOHN PINOCHET,312.7
12,6º,4,JAIMINI,"3 3/4 cpos.",MIGUEL GUTIERREZ,HERNAN ULLOA,3928.6
12,7º,6,PECADO INCONFESABLE (ARG),"4 1/4 cpos",JAIME A. MIÑO,CARLOS GARCIA,3148.1
12,8º,5,MONACO (ARG),"4 1/4 cpos",JOAQUIN HERRERA,JUAN RODRIGUEZ R.,4116
12,9º,12,DALIKA,"4 1/2 cpos.",NICOLAS RAMIREZ,MARIO RABAJILLE D.,3642.8
12,10º,11,MILTEO,"6 cpos.",RAFAEL CISTERNAS,CRISTIAN URBINA,347.6
12,11º,9,STRONG DAIKIRI,"7 1/4 cpos.",OSCAR MENESES,JOSE ARAYA B.,4177.4
12,12º,8,NA NI NA,"8 3/4 cpos",WLADIMIR QUINTEROS,DOMINGO MATTE,3625
12,13º,3,SIGNORE PIO,"13 1/2 cpos.",DARIEN CHEUQUE,FELIPE GONZALEZ S.,3681
