Carrera,Lugar,Numero,Caballo,Padrillo,Stud,Peso_Caballo,Jinete,Peso_Jinete,Preparador,Distancia,Indice,Dividendo
10,2,1,FAGIOLO,HOOTENANNY (USA),OLIMPIC BLUE,495,VICTOR MIRANDA,55,ALEJANDRO PADOVANI E.,pczo.,42,4.1
10,3,8,LONWHITE,MENDELSSOHN (USA),CHARITO,484,RAFAEL CISTERNAS,57,CRISTOBAL GONZALEZ M.,1 1/4 cpos.,43,1.6
10,4,2,PAPUDO CHROME,CALIFORNIA CHROME,GARAGE JCS,461,WILBERT LEON,51,OSCAR SILVA S.,4 1/2 cpos.,34,23
10,5,6,EL UNGIDO,ROBERT BRUCE,LEGACY,505,LUIS TORRES,58,JOSE ARAYA B.,8 cpos.,46,9.2
10,6,3,LUDANA,MUCHO MACHO MAN,MATRIARCA,486,IGNACIO VALDIVIA,51,MARIO RABAJILLE D.,8 3/4 cpos,38,5.3
10,7,5,EL MERLUZO,HOOTENANNY (USA),CARNES OLY,502,BENJAMIN TRONCOSO,54,ALEJANDRO PADOVANI E.,9 3/4 cpos.,42,16.6
10,8,9,DON MATIAS,HINZ,VIÑA DEL MAR,487,AXEL ALVAREZ,52,ALEJANDRO PADOVANI E.,11 3/4 cpos.,40,56.2
10,9,4,MONACO (ARG),CATCHER IN THE RYE,DON CHATO,463,NICOLAS MOLINA,53,JUAN RODRIGUEZ R.,13 3/4 cpos.,41,29.6
11,1,3,TEA AND MILK,LOOKIN AT LUCKY,SERGIRROA,415,MARCO MORALES,57,RAUL MONTESINO,Ganador,7,9.1
11,2,4,PURA ROSA,WAR COMMAND,BARTI,435,JOHAN GONZALEZ,58,FRANCISCO PINOCHET,3 1/2 cpos.,9,6
11,3,10,EL NENE,PAPELON,DI GIORGIO DICONE,421,AXEL ALVAREZ,54,CLAUDIO BERNAL,4 1/2 cpos.,4,13.8
11,4,6,EL BOHEMIO,MIDSHIPMAN,OLIMPIC BLUE,459,BENJAMIN TRONCOSO,59,ALEJANDRO PADOVANI E.,5 cpos.,10,7.5
11,5,1,CHAMPELICE,KATMAI,LOS CALERANOS,436,GERARD RODRIGUEZ,58,JOAO CASTILLO L.,5 1/4 cpos.,8,3.5
11,6,11,EXTROVERTIDA,MASTERCRAFTSMAN,OSCARITO,460,FABIAN MEDINA,54,HECTOR MANRIQUEZ,6 1/4 cpos.,4,15.4
11,7,9,NEL BLU,CONSTITUTION,MASCOTTA,428,MIGUEL GUTIERREZ,58,CLAUDIO BERNAL,7 1/4 cpos.,8,15.8
11,8,8,CASPER INN,DYLAN THOMAS,PEPELUCHE,404,SEBASTIAN MUÑOZ,58,LUIS MACHULAS G.,11 1/4 cpos.,8,12.7
11,9,2,LA PALA,FLAMEAWAY (CAN),BOTAFOGO,490,SEBASTIAN GONZALEZ,56,OSCAR SILVA S.,21 1/2 cpos.,6,2.1
11,RT,5,MANKIND,GOLDENCENTS,FACUNDO SANTIAGO,-,N.N.,58,HECTOR MANRIQUEZ,-,-,8
11,RT,12,PACIFICADOR,DANGEROUS MIDGE,LO CAMPO,-,N.N.,56,OLIVERIO MARTINEZ,-,-,6
11,RT,7,EL KING,MEGLIORE DI TUTTI,AJSA,-,N.N.,58,HERNAN ULLOA,-,-,8
12,1,3,BICAMPEON CHILENO,DYLAN THOMAS,EL MERO MERO,419,MARCO A. BUSTAMANTE,56,JOSE ARAYA B.,Ganador,1,5.4
12,2,5,SEE YOU AGAIN,GOOD SAMARITAN (USA),POR TI NEGRITA,502,LESLY C. GONZALEZ,57,FELIPE GONZALEZ S.,1 cpo.,2,5.7
12,3,2,GRAN TOMAHAWK,DADDY LONG LEGS,SAGARDIA HNOS.,460,LUIS D. MENGHINI,56,OSCAR SILVA G.,1 1/4 cpos.,1,12.5
12,4,4,AGUILA DE FUEGO,GOOD SAMARITAN (USA),GUERRERO DE LA VIDA,406,RODOLFO FUENZALIDA,56,RAUL MONTESINO,4 cpos.,1,28.3
12,5,9,VALLTTERI,WAR COMMAND,MONTESINO S. RAUL,453,ROBERTO AVILA,57,RAUL MONTESINO,4 1/4 cpos,2,4.3
12,6,1,NONA BLANCA,KATMAI,ROGER WELLMANN H.,452,JESUS TORO,57,JOSE ARAYA B.,9 1/4 cpos.,2,5
12,7,8,OJO DE HALCON,SEVILLE II,BUREO,443,DIEGO CARRASCO,58,ROBERTO TOLEDO M.,10 1/4 cpos.,1,22.8
12,8,10,MUY RESPETADA,FOREVER THING,SAGARDIA HNOS.,406,JOSE SOLANO,56,OSCAR SILVA G.,14 1/2 cpos.,1,18.3
12,9,7,NOVELA GRIEGA,OCEAN TERRACE,FRITZI,410,PIERO REYES P.,57,CARLOS GARCIA,23 3/4 cpos.,4,17.8
12,10,6,ANTIOCO,CLASSIC EMPIRE (USA),LOS CABEZAS ALVAREZ,486,MARCO MORALES,58,RAUL MONTESINO,34 1/4 cpos.,3,14.8
12,RT,11,TAN DECORATIVA,DADDY LONG LEGS,MIS TRES AMORES,-,WLADIMIR QUINTEROS,56,RODRIGO SILVA S.,-,-,1
13,1,1,TRES PRINCIPES,FLAMEAWAY (CAN),MUNDO FUTURO H.,467,GONZALO ULLOA,58,HERNAN ULLOA,Ganador,16,2.6
13,2,5,KANDOZI,IVAN DENISOVICH,MONTESINO S. RAUL,464,SEBASTIAN GONZALEZ,57,RAUL MONTESINO,1/2 cpo.,14,5.5
13,3,6,CRANS MONTANA,BAD DADDY,DOÑA EMMA,434,JOAQUIN HERRERA,59,CLAUDIO BERNAL,5 1/4 cpos.,17,5.2
13,4,2,JALONADO,DYLAN THOMAS,SAGARDIA HNOS.,511,JOSE SOLANO,56,OSCAR SILVA G.,5 1/2 cpos.,13,6.3
