Carrera,Lugar,Numero,Ejemplar,Padrillo,Stud,Peso_Fisico,Jinete,Peso_Jinete,Preparador,Distancia,Indice,Dividendo
15,5,5,SEÑOR TRONCOSO,FORWARD MARCH,BERNAL G CLAUDIO,434,RODOLFO FUENZALIDA,56,CLAUDIO BERNAL,8 3/4 cpos,6,4.5
15,6,10,JAVIVALETU,EXAGGERATOR,LLEGO EL TALENTO,443,BENJAMIN TRONCOSO,56,ALEJANDRO PADOVANI E.,10 cpos.,6,34.8
15,7,9,LITTLE GASPI,WAR COMMAND,ROXANITA,502,DIEGO CARRASCO,56,RAUL MONTESINO,10 1/4 cpos.,6,41.4
15,8,1,SULTAN GUERRERO,VAN NISTELROOY,YAYITA,468,ROBERTO AVILA,56,RAUL MONTESINO,10 3/4 cpos.,6,5.8
15,9,12,ACLIS,EXAGGERATOR,BUREO,473,JOSE PAREDES,56,ROBERTO TOLEDO M.,11 1/4 cpos.,6,193.1
15,10,8,SALE DE MIS OJOS,GEMOLOGIST,RUFO,458,BASTIAN SOTO,57,FERNANDO SOLAR,15 1/4 cpos.,7,10.8
15,11,7,HUACARNECO,MAYAKOVSKY,BARTI,478,JOHAN GONZALEZ,57,FRANCISCO PINOCHET,15 1/4 cpos.,7,9.2
15,12,13,JUNIPER,DISTORTED ECONOMY,CHAMO CANDELA,416,AXEL ALVAREZ,57,RICARDO ROJAS,16 1/2 cpos.,7,75.5
15,13,11,LA SIGUIENTE,EXAGGERATOR,CINCAR,473,RODRIGO PAINEN,56,HECTOR MANRIQUEZ,21 3/4 cpos.,6,10.2
15,14,6,PRIMA TOWN,MO TOWN,HECTOR MANRIQUEZ F.,411,VICTOR BRACETTI,57,HECTOR MANRIQUEZ,23 cpos.,7,11
15,RT,4,BENVENUTO CELLINI,RYDILLUC,MONIN,-,NICOLAS MOLINA,56,FERNANDO SOLAR,-,6,-
16,1,3,ACHAPLINA,SEEKING THE DIA,PEÑA P. WALESKA,402,LESLY C. GONZALEZ,57,WALESKA PEÑA,Ganador,5,13.4
16,2,1,LUCHIN ENOJON,FOREVER THING,MENESES T OSCAR,420,RICARDO SOLORZA,55,FELIPE GONZALEZ S.,1 1/4 cpos.,3,16.6
16,3,15,NO TIENE PALABRA,FLYER,SANTA EMPERATRIZ,423,ROBERTO AVILA,55,RAUL MONTESINO,4 3/4 cpos.,3,12.7
16,4,5,FELIPHON,SHANGHAI BOBBY,BARCELONA,477,HUGO OCHOA,55,ALVARO FERNANDEZ,5 cpos.,3,6.7
16,5,10,ANTUMBRA,DISTORTED ECONOMY,MONTESINO S. RAUL,420,MARCO MORALES,55,RAUL MONTESINO,5 3/4 cpos.,3,7.6
16,6,6,RUCIA DEL DOC,EXAGGERATOR,FERNANDEZ L ALVARO,415,JESUS TORO,57,ALVARO FERNANDEZ,6 3/4 cpos.,5,47.2
16,7,7,MUY TEMPERADA,DISTORTED ECONOMY,PANADERO,431,JOSE PAREDES,57,FELIPE GONZALEZ S.,9 1/4 cpos.,5,5.2
16,8,14,LATEN GOOD,GOOD SAMARITAN (USA),PERALTA P GUILLERMO,448,JAIME A. MIÑO,57,GUILLERMO PERALTA,9 1/2 cpos.,5,19.1
16,9,8,SAHOURIYE,LOOKIN AT LUCKY,MANUELITO,395,BASTIAN SOTO,57,JOSE ARAYA B.,11 3/4 cpos.,5,84
16,10,9,FABRANA,SEEKING THE DIA,ALTAMIRA,471,JORGE ZUÑIGA,55,RICARDO ROJAS,12 cpos.,3,12.8
