Warning: No position column in exports/RESULTADO_VAL2026-01-11..csv

## Club Hípico de Santiago
|   Lugar | Jinete               |   Carreras Ganadas |   Segundos |   Terceros |   Eficiencia (%) |
|      21 | Ronald Fournet        |                  0 |          2 |          0 |             0    |
|      22 | Guillermo A. Perez    |                  0 |          1 |          2 |             0    |
|      23 | Nelson Rojas          |                  0 |          1 |          2 |             0    |
|      24 | Johan Gonzalez        |                  0 |          1 |          0 |             0    |
|      25 | Maximiliano Salinas   |                  0 |          1 |          0 |             0    |
|      26 | Nicolas Ramirez       |                  0 |          1 |          0 |             0    |
|      27 | Oscar Ulloa           |                  0 |          1 |          0 |             0    |
|      28 | Sebastian Marin       |                  0 |          1 |          0 |             0    |
|      29 | Jose D. Villagran     |                  0 |          0 |          2 |             0    |
|      30 | Bernardo Leon         |                  0 |          0 |          1 |             0    |
|      31 | Claudio Poblete       |                  0 |          0 |          1 |             0    |
|      32 | Ignacio Valdivia      |                  0 |          0 |          1 |             0    |
|      33 | Jorge Zuñiga          |                  0 |          0 |          1 |             0    |
|      34 | Lesly Gonzalez        |                  0 |          0 |          1 |             0    |
|      35 | Luis Torres           |                  0 |          0 |          1 |             0    |
|      36 | Anyelo Rivera         |                  0 |          0 |          0 |             0    |
|      37 | Axel Alvarez          |                  0 |          0 |          0 |             0    |
|      38 | Cristian Bobadilla    |                  0 |          0 |          0 |             0    |
|      39 | Diego Carvacho        |                  0 |          0 |          0 |             0    |
|      40 | Felipe Moreno         |                  0 |          0 |          0 |             0    |
|      41 | Franco Olivares       |                  0 |          0 |          0 |             0    |
|      42 | Hugo Ochoa            |                  0 |          0 |          0 |             0    |
|      43 | Jaime Medina          |                  0 |          0 |          0 |             0    |
|      44 | Jonathan Castillo     |                  0 |          0 |          0 |             0    |
|      45 | Jorge Gonzalez        |                  0 |          0 |          0 |             0    |
|      46 | Jose Cueto            |                  0 |          0 |          0 |             0    |
|      47 | Juan M.soto           |                  0 |          0 |          0 |             0    |
|      48 | Kevin Espina          |                  0 |          0 |          0 |             0    |
|      49 | Nicolas Molina        |                  0 |          0 |          0 |             0    |
|      50 | Nicolas Santibañez    |                  0 |          0 |          0 |             0    |
|      51 | Rodolfo S. Dores      |                  0 |          0 |          0 |             0    |
|      52 | Simond Gonzalez       |                  0 |          0 |          0 |             0    |

## Análisis de Progresión

Top 5 Jinetes con Mayor Progresión (Semana 1 vs Semana 2):
| Jinete                |   Week1 Wins |   Week2 Wins |   Win Delta |   Week1 Eff |   Week2 Eff |   Eff Delta |
|:----------------------|-------------:|-------------:|------------:|------------:|------------:|------------:|
| Gerard Rodriguez      |            0 |            3 |           3 |           0 |     33.3333 |     33.3333 |
| JAIME MEDINA          |            0 |            2 |           2 |           0 |    100      |    100      |
| Benjamin Troncoso     |            0 |            2 |           2 |           0 |     66.6667 |     66.6667 |
| CARLOS ORTEGA         |            0 |            2 |           2 |           0 |     50      |     50      |
| Sebastian E. Gonzalez |            0 |            2 |           2 |           0 |     22.2222 |     22.2222 |

Jinete destacado con mayor progresión: Gerard Rodriguez (Aumento en victorias: 3, Mejora eficiencia: 33.33%)
